Number of transactions: 744502
Number of attempts: 1101797
Number of RO transactions: 372251
Number of RW transactions: 372251
Transactions/attempts rate: 67,57%
Abort rate: 13,31%
Abort rate 2: 32,43%
Multi value reads rate: 0.0%
Transaction read multi value rate: 0.0%
Avg. multi value read size: 0.0
RO throughout: 1545,07/sec
RW throughout: 1489,16/sec
Throughout: 2973,69/sec
Avg. RO response time: 8.0 ms
Avg. RW response time: 167.0 ms
Avg. response time: 87.0 ms
RO Std. Dev. response time: 24,33 ms
RW Std. Dev. response time: 408,24 ms
Std. Dev. response time: 299,83 ms
RO min. response time: 1 ms
RO max. response time: 1791 ms
RW min. response time: 6 ms
RW max. response time: 1791 ms
